3
-0.735;0.725;1;-0.658825;-0.811175;0.771877;0.678123;
-0.655;0.595;1;-0.578825;-0.731175;0.641877;0.548123;
-0.57;0.495;1;-0.50185;-0.63815;0.552927;0.437073;
-0.46;0.385;1;-0.396754;-0.523246;0.448246;0.321754;
-0.325;0.26;1;-0.264232;-0.385768;0.32563;0.19437;
-0.265;0.07;1;-0.179709;-0.350291;0.096934;0.043066;
-0.395;0.005;1;-0.355;-0.435;-0.075;0.085;
-0.435;-0.12;1;-0.349813;-0.520187;-0.14726;-0.09274;
-0.335;-0.21;1;-0.275166;-0.394834;-0.143518;-0.276482;
-0.13;-0.26;1;-0.108806;-0.151194;-0.173105;-0.346895;
0.11;-0.25;1;0.106276;0.113724;-0.160635;-0.339365;
0.275;-0.19;1;0.244434;0.305566;-0.105942;-0.274058;
0.35;-0.09;1;0.278446;0.421554;-0.0363344;-0.143666;
0.46;-0.00999999;1;0.407392;0.512608;0.0623356;-0.0823355;
0.46;0.225;1;0.370557;0.549443;0.225;0.225;
0.6;0.39;1;0.531799;0.668201;0.447867;0.332133;
0.75;0.515;1;0.69274;0.80726;0.583712;0.446288;

-0.21;0.695;1;-0.203916;-0.216084;0.784236;0.605764;
0.00999999;0.68;1;0.0160842;0.00391575;0.769236;0.590764;
0.105;0.68;1;0.105;0.105;0.769443;0.590557;
0.22;0.82;1;0.150885;0.289115;0.876773;0.763227;
0.34;0.865;1;0.308595;0.371405;0.948748;0.781252;

0.37;-0.435;1;0.459198;0.280802;-0.441607;-0.428393;
0.36;-0.57;1;0.449198;0.270802;-0.576607;-0.563393;
0.36;-0.715;1;0.449443;0.270557;-0.715;-0.715;
0.52;-0.81;1;0.565664;0.474336;-0.733092;-0.886908;
0.725;-0.79;1;0.716315;0.733685;-0.70098;-0.87902;

